Ref,Component,Supplier,Supplier_PN,Qty,UnitCost,Currency,Status,ETA,Delivery,Carrier,Note,Flag
"PCB","Bare control board (125×95×1.6mm, frozen)","Eurocircuits","—","1","58.69","EUR","In hand","24 Jun","Delivered","DHL","Bare board · arrived 24 Jun via DHL",""
"AMP","MA12070 Class-D module (60×80×33mm)","Audiophonics","14732","1","115.61","EUR","Ordered","8 Jul","Home","Courier TBC","Audiophonics — both invoices ship together · still processing",""
"A2","OPA1622 dual op-amp on DIP-8 adapter","Audiophonics","12489","1","23.09","EUR","Ordered","8 Jul","Home","Courier TBC","Audiophonics — ships with MA12070 · still processing",""
"SI-ORD","SoundImports order — shakers, OFC wire, 3.5mm & DC panel jacks","SoundImports","—","1","210.48","EUR","In hand","","Delivered","","Full invoice incl. shipping · 2 pairs of shakers",""
"SHK","Xcite XBS25-4 bass shaker (4Ω, cushion)","SoundImports","XBS25-4","4","","EUR","In hand","","","","€39.95 ea · 2 pairs in SoundImports order",""
"WIRE","OFC speaker wire 2×2.5mm² (cushion run)","SoundImports","ICC-25MM","7","","EUR","In hand","","","","€2.99/m · in SoundImports order",""
"HJACK","3.5mm headphone jack (panel mount)","SoundImports","—","1","","EUR","In hand","","","","In SoundImports order",""
"DCJACK","DC barrel jack 5.5×2.5mm (panel mount)","SoundImports","25MM-DC-JACK","1","","EUR","In hand","","","","In SoundImports order",""
"PSU","Delight 55366 PSU · 19V / 4.74A / 90W","eMAG","55366","3","5090","HUF","In hand","","Delivered","","15 270 Ft total for 3 units",""
"XLR","Mini-XLR 4-pin terminations (F104 chassis + male plug)","Elimex","F104","1","16438","HUF","Ordered","TBC","Pickup","GLS","Order total incl. heat-shrink · GLS pickup, Nagy Lajos","Confirm Elimex payment"
"HS","Black heat-shrink assortment kit","Elimex","—","1","","HUF","Ordered","","","","In Elimex order",""
"CAB4","Sommer Cable SC-CICADA 4 · 5 m (cushion cable)","FlyMusic (RO)","SC-CICADA 4","1","6850","HUF","Ordered","9 Jul","Home","DPD","5 m · mates with mini-XLR · from Romania",""
"TVS1","P6KE24A TRANSIL TVS · 24V / 600W (1ms)","HQ Elektronika","P6KE24A","5","900.2","HUF","In hand","25 Jun","Delivered","GLS","5 pcs · 4 501 Ft order incl. internal wire · picked up GLS Nagy Lajos",""
"WINT","Mini hook-up wire (internal connections)","HQ Elektronika","—","1","","HUF","In hand","25 Jun","Delivered","GLS","In the 4 501 Ft HQ Elektronika order · picked up GLS Nagy Lajos",""
"FAB","Vintage fabric audio cable","Specialty (TBD)","—","1","","EUR","Deferred","","","","Needs specialty source",""
"ORDER","HESTORE order — passives, headers & connectors (bulk)","HESTORE","—","1","26584","HUF","In hand","","Delivered","GLS","32 invoice lines · all received · picked up GLS Nagy Lajos",""
"BA","1000µF / 35V bulk cap (C1)","HESTORE","100.432.81","1","","HUF","In hand","","","","",""
"CU","1000µF / 25V electrolytic (C3)","HESTORE","100.310.10","1","","HUF","In hand","","","","",""
"DE","470µF / 25V Low-ESR cap","HESTORE","100.285.01","3","","HUF","In hand","","","","",""
"NV","1µF / 63V film cap","HESTORE","100.008.95","2","","HUF","In hand","","","","",""
"KF","100nF / 50V X7R cap","HESTORE","100.448.15","6","","HUF","In hand","","","","",""
"XA","100K 1% resistor","HESTORE","100.205.64","2","","HUF","In hand","","","","",""
"CH","10K 1% resistor","HESTORE","100.205.41","4","","HUF","In hand","","","","",""
"MU","10R 1% resistor","HESTORE","100.204.73","2","","HUF","In hand","","","","",""
"KE","1.2K 1% resistor","HESTORE","100.205.19","1","","HUF","In hand","","","","",""
"AB","8.2K 1% resistor","HESTORE","100.205.39","1","","HUF","In hand","","","","",""
"SF","3296W-10K trimmer","HESTORE","100.412.47","1","","HUF","In hand","","","","",""
"RA","POS1615-A10K dual-log 10K pot","HESTORE","100.383.27","2","","HUF","In hand","","","","",""
"AE","LED 5mm warm white 1500-2000mcd","HESTORE","100.202.93","5","","HUF","In hand","","","","",""
"LS","LED 5mm orange OSOR5161A-NO","HESTORE","100.298.75","3","","HUF","In hand","","","","",""
"AD","SB560 Schottky diode 60V / 5A","HESTORE","100.492.21","1","","HUF","In hand","","","","",""
"KD","4602-RC choke 1µH / 2A","HESTORE","100.358.61","1","","HUF","In hand","","","","",""
"MB","LP30-300 resettable fuse 3A / 30V","HESTORE","100.238.56","1","","HUF","In hand","","","","",""
"LV","TLE2426ILP rail-splitter IC","HESTORE","100.346.37","2","","HUF","In hand","","","","",""
"ST","ECPF08 precision IC socket","HESTORE","100.231.43","1","","HUF","In hand","","","","",""
"SS","B3B-XH-A header · XH 3P THT","HESTORE","100.415.50","3","","HUF","In hand","","","","",""
"LB","B6B-XH-A header · XH 6P THT","HESTORE","100.415.52","2","","HUF","In hand","","","","",""
"CO","XHP-3-CABLE · assembled 3P cable 20cm","HESTORE","100.416.04","2","","HUF","In hand","","","","",""
"OL","XHP-6-CABLE · assembled 6P cable 20cm","HESTORE","100.416.07","2","","HUF","In hand","","","","",""
"NU","KFG-2EDGK-5.08-2P terminal block","HESTORE","100.425.63","1","","HUF","In hand","","","","",""
"RR","KFG-2EDGK-5.08-4P terminal block","HESTORE","100.425.66","2","","HUF","In hand","","","","",""
"MH","White heat-shrink 18/9mm (5 m)","HESTORE","100.226.71","1","","HUF","In hand","","","","",""
"ON","White heat-shrink 2.5/1.25mm (5 m)","HESTORE","100.226.76","1","","HUF","In hand","","","","",""
"OP","White heat-shrink 4/2mm (3 m)","HESTORE","100.226.81","1","","HUF","In hand","","","","",""
"PL","LIYV 1×0.14 black hook-up wire (5 m)","HESTORE","100.448.88","1","","HUF","In hand","","","","",""
"NT","SN99C 0.5mm solder wire (0.1 kg)","HESTORE","100.426.68","1","","HUF","In hand","","","","",""
"AA","MF-X3210I Stannol flux pen 10ml","HESTORE","100.469.38","1","","HUF","In hand","","","","",""
"SU","ZD-180-1 desolder braid","HESTORE","100.360.46","1","","HUF","In hand","","","","",""
"FIL","Transparent PETG filament · 1 kg spool","3D Printing (TBC)","Sunlu?","2","5255.5","HUF","In hand","","Delivered","","2× 1 kg · 10 511 Ft total · material testing underway","Confirm brand & supplier"
"FOAM-B","EVA puzzle foam — cushion base","Cushion — sourcing","—","1","","HUF","To source","","","","Base layer of the pillow","Source supplier + price"
"FOAM-S","Soft seating foam — comfort layer","Cushion — sourcing","—","1","","HUF","To source","","","","Comfort/seating foam","Find supplier"
"FABRIC","Pillow cover fabric","Cushion — sourcing","—","1","","HUF","To source","","","","Outer cushion fabric","Source fabric"
"MFG","Pillow manufacturing / sewing","Cushion — sourcing","—","1","","HUF","To source","","","","Cut & sew assembly of the cushion","Find manufacturer"